name,artist,id,danceability,energy,liveness,valence,speechiness,loudness
Hold On,Chord Overstreet,5vjLSffimiIP26QG5WcN2K,0.618,0.443,0.0829,0.167,0.0526,-9.681
Happier,Ed Sheeran,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0.135,0.236,0.0288,-7.355
Can I Be Him,James Arthur,0VhgEqMTNZwYL1ARDLLNCX,0.696,0.543,0.0939,0.479,0.0489,-6.164
happier,Olivia Rodrigo,2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,0.0839,0.338,0.133,-9.72
favorite crime,Olivia Rodrigo,5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,0.147,0.218,0.0364,-10.497
Choke,OneRepublic,5xtliWYBVT4cKo9BtBn43B,0.582,0.607,0.116,0.263,0.0346,-6.397
deja vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,0.37,0.178,0.112,-7.222
Till Forever Falls Apart,Ashe,2769RhOZs0ezRncRW1vryp,0.509,0.498,0.0674,0.283,0.0315,-6.94
CHICKEN TENDIES,Clinton Kane,0awuNCj9gwJEM0seER22DW,0.57,0.689,0.0819,0.568,0.147,-6.242
How to Save a Life,Stephen Kramer Glickman,0hhR18R7KjZepv4wLQV7Pd,0.62,0.45,0.122,0.368,0.0288,-8.042
Soul Mate,flora cash,2xo3D4eKXs19ISgTcICbua,0.429,0.371,0.119,0.305,0.0351,-11.803
Astronomy,Conan Gray,0KmgJyW4GDgonqsoyx0CZ3,0.471,0.335,0.297,0.111,0.0273,-8.767
Can't Let You Go,Ali Gatie,5RfrZ5Lgr3fdtgnvhh3va8,0.648,0.455,0.109,0.183,0.0341,-7.122
remember the mornings,Clinton Kane,27kcZEJvhkb1rzZS9gCpdA,0.59,0.443,0.11,0.342,0.0722,-5.662
Please Notice,Christian Leave,36seMHoyXmLUNxcwzwjdF7,0.55,0.271,0.107,0.198,0.0297,-8.451
Happiest Year,Jaymes Young,5kcvBnt6DPX3AMEsCx1qDh,0.501,0.167,0.111,0.356,0.0484,-14.061
Those Eyes,New West,19DIgGR0KFZhoE1lOrzspa,0.602,0.353,0.313,0.237,0.0282,-8.033
Next to You,New West,0c57qFe4YRCUk1xGNnqDFB,0.385,0.658,0.357,0.391,0.0262,-5.166
With You,Dotan,7F4tdzXomvS7biLOJojIjs,0.597,0.44,0.066,0.0656,0.0327,-9.609
i don't want to watch the world end with someone else,Clinton Kane,58qX77t2VWMWcycsh9zKLc,0.535,0.359,0.111,0.488,0.0607,-9.343
Wait!,Fiji Blue,4VpCLDwfdVvyIdA1VKtPEs,0.749,0.409,0.152,0.486,0.0395,-9.263
Broken,Jonah Kagen,3JE04xcSOB8zuUzzazuaDj,0.495,0.351,0.104,0.237,0.0626,-11.966
ilym (feat. ROSIE),John K,6iT0ZdQcHwzQDNcAC2oDKX,0.261,0.277,0.0859,0.0617,0.031,-8.143
Chalo Chalein,Ritviz,0NS3ca87AFGTQ2jHWeaLJ1,0.461,0.5,0.116,0.572,0.0614,-9.828
Jeet,Ritviz,4ye8U0982eHtlhlvePpxtP,0.787,0.734,0.0625,0.634,0.0701,-6.464
"Raabta (From ""Agent Vinod"")",Arijit Singh,6tzckBcK66LzeSA1Opnv35,0.657,0.581,0.116,0.32,0.0298,-8.108
"Ghungroo (From ""War"")",Arijit Singh,0WdbnNKO0Jt4BZACSDQh44,0.695,0.727,0.533,0.864,0.0323,-6.274
The Breakup Song,Pritam,7BjQd0sfYsMGVrTpRdBNTT,0.818,0.93,0.658,0.831,0.247,-2.982
Chammak Challo,Akon,0EH7sgeiFqDa3eS7ieW2zs,0.742,0.879,0.0981,0.936,0.0328,-4.274
Sooraj Dooba Hain,Aditi Singh Sharma,2rSCesM8QQvGjvkJg3xsOS,0.607,0.774,0.176,0.467,0.0632,-4.56
Balam Pichkari,Pritam,18e3XXYCv4Tx8uUl1mP3CN,0.732,0.944,0.401,0.957,0.09,-4.115
Matargashti,Mohit Chauhan,5GeBgck1MU2tlIkMpsn8uT,0.792,0.63,0.0758,0.659,0.0682,-6.741
Suit Suit,Guru Randhawa,2mwBSO58y92EYmEFpDfmS7,0.767,0.869,0.221,0.751,0.0908,-3.381
Bom Diggy,Zack Knight,0O7jVsX1Sp98fV3802ccjY,0.793,0.777,0.144,0.528,0.197,-5.636
Dilbar,Neha Kakkar,0Ms1V2flsPzr2bVqImelCB,0.725,0.912,0.107,0.674,0.0851,-3.665
Mere Rashke Qamar,Nusrat Fateh Ali Khan,4sNiMTu47WkUgW87qeUlWF,0.718,0.83,0.124,0.771,0.0505,-5.488
High Rated Gabru,Guru Randhawa,4dJWik0ax9bRFXl0HqbFjT,0.685,0.841,0.26,0.59,0.0942,-2.932
The Wakhra Song,Navv Inder,6N6mJlsjYRV0yoMSPS5JiQ,0.788,0.894,0.0649,0.588,0.198,-2.661
Jag Soona Soona Lage,Rahat Fateh Ali Khan,2sVzO3L0fdOMVe8wVlM0IE,0.563,0.71,0.105,0.262,0.0592,-6.212
Channa Mereya,Pritam,0H2iJVgorRR0ZFgRqGUjUM,0.476,0.788,0.106,0.746,0.0446,-4.821
Samjhawan,Jawad Ahmad,0rk2X5TAhraBC5aCIXK2Rq,0.651,0.482,0.0811,0.517,0.0281,-8.666
"Tum Hi Ho (From ""Aashiqui 2"")",Arijit Singh,3oKuEvvclPj25AifUVoKxS,0.528,0.449,0.122,0.317,0.025,-6.25
Kabira,Pritam,4bD9z9qa4qg9BhryvYWB7c,0.59,0.555,0.192,0.191,0.0271,-6.861
Sajdaa,Shankar-Ehsaan-Loy,5upmbnXemLfPvs3d2eyHml,0.468,0.737,0.0655,0.572,0.0765,-7.274
Kun Faya Kun,A.R. Rahman,7F8RNvTQlvbeBLeenycvN6,0.362,0.378,0.091,0.575,0.0329,-11.008
Bin Tere,Vishal-Shekhar,3bZPdEskcnMdepwCaDSJRl,0.585,0.698,0.363,0.621,0.0392,-6.261
Dil Diyan Gallan,Vishal-Shekhar,5MnAi6ZF7cE8pAz7wYr9Ta,0.716,0.64,0.127,0.485,0.025,-8.726
Sunn Raha Hai,Ankit Tiwari,5PvwPy5eRO8BPwpRzCHK3D,0.394,0.641,0.0958,0.335,0.0312,-6.493
Tere Sang Yaara,Atif Aslam,4BOYIpYF7zTYtAkpjoD687,0.539,0.551,0.124,0.556,0.0361,-7.351
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,1fzAokzOONl4XEPUFoammu,0.562,0.519,0.172,0.415,0.0326,-8.744
Baarish Lete Aana,Darshan Raval,1TEV1XrPtV617Y4Po50P5e,0.537,0.351,0.108,0.315,0.0248,-8.937
"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh,1aIhAX6324JZmhNnGltwkK,0.559,0.541,0.102,0.309,0.0313,-5.525
Kal Ho Naa Ho,Shankar-Ehsaan-Loy,251PNRmJU9KcUnFQAB5t6I,0.532,0.529,0.078,0.295,0.0352,-8.402
Ae Dil Hai Mushkil Title Track,Pritam,1UWacd8x8tPPwmrPB1MoBI,0.495,0.654,0.165,0.35,0.0679,-6.639
"Jeena Jeena (From ""Badlapur"")",Atif Aslam,6h09y5UH6sDRERJALlaJPi,0.676,0.319,0.117,0.565,0.0279,-9.201
Tum Se Hi,Pritam,7eQl3Yqv35ioqUfveKHitE,0.609,0.538,0.125,0.608,0.0273,-7.842
Ikk Kudi - Reprised Version,Diljit Dosanjh,0gPW9v2NYGnWzhz5I06ajD,0.62,0.502,0.1,0.302,0.0303,-8.375
Nazm Nazm feat. Ayushmann Khurana,Ayushmann Khurrana,3FLJR1N1dxOYEpZCsTX8p6,0.555,0.496,0.0767,0.391,0.0329,-7.175
Enna Sona,A.R. Rahman,6bdpj89aYEBjhpsenXAsmO,0.717,0.416,0.0976,0.381,0.0303,-9.875
"Humsafar (From ""Badrinath Ki Dulhania"")",Akhil Sachdeva,7aE1lfskJLMHQnzCCP1zsV,0.319,0.552,0.144,0.221,0.0307,-6.401
Jeete Hain Chal,Kavita Seth,7kl1KAzW5O4gOAesaHxiq0,0.569,0.6,0.124,0.471,0.037,-9.917
Kabhi Alvida Naa Kehna,Shankar-Ehsaan-Loy,76BlL0Pb2QccsIT0Knc2lN,0.46,0.41,0.227,0.468,0.0404,-10.371
Gerua,Pritam,7iLA6PQeQWRjLDHOJgGpj5,0.371,0.668,0.294,0.403,0.0497,-7.269
Better,Khalid,6zeeWid2sgw4lap2jV61PZ,0.596,0.552,0.104,0.112,0.097,-10.278
Polaroid,Jonas Blue,6XqvFyJGdUD5IWee02ARKU,0.652,0.898,0.073,0.472,0.0361,-4.481
There You Are,ZAYN,155EsNGoXo7XSVF84oTPam,0.452,0.688,0.11,0.313,0.0385,-4.84
Lights Down Low,MAX,6TFO7bRauf2CEXh9qy2QcY,0.622,0.571,0.122,0.635,0.0493,-5.338
Good Years,ZAYN,1V1NpX9DlBb9koXof9nIBF,0.639,0.411,0.141,0.158,0.042,-5.979
Give Me Love,Ed Sheeran,7K5kHLi614BVTBjSVfZeAh,0.363,0.326,0.11,0.114,0.0637,-9.877
Too Much To Ask,Niall Horan,39jXnbACjiaiTwwhsr5sY5,0.443,0.533,0.128,0.201,0.0396,-6.548
I Won’t Give Up,Jason Mraz,26TzE0IIiuqPKLaWfcsj4C,0.543,0.329,0.112,0.141,0.0449,-9.46
Scars To Your Beautiful,Alessia Cara,42ydLwx4i5V49RXHOozJZq,0.319,0.739,0.111,0.449,0.272,-5.74
All of Me,John Legend,70jqeiiCw2s12XtJBGGwi4,0.517,0.273,0.136,0.352,0.0281,-6.914
Lost Boy,Ruth B.,4h0zU3O9R5xzuTmNO7dNDU,0.71,0.0565,0.0889,0.348,0.0534,-15.099
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,1XXbgifsLFB5pRNWuRqz0t,0.63,0.53,0.177,0.417,0.0434,-7.259
Dancing On My Own,Calum Scott,02WacdrRpm4zlP8H7X6bnQ,0.608,0.174,0.0855,0.193,0.0332,-8.796
Someone You Loved,Lewis Capaldi,2TIlqbIneP0ZY1O0EzYLlc,0.501,0.405,0.105,0.446,0.0319,-5.679
Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,0.752,0.488,0.0936,0.533,0.0705,-7.05
i'm so tired...,Lauv,7COXchtUOMd6uIT6HvmRaI,0.599,0.733,0.242,0.534,0.203,-7.058
Girls Like You (feat. Cardi B),Maroon 5,7fa9MBXhVfQ8P8Df9OEbD8,0.851,0.541,0.13,0.448,0.0505,-6.825
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,0.358,0.557,0.0902,0.494,0.059,-7.398
Photograph,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,0.0986,0.201,0.0476,-10.48
This Town,Niall Horan,0qvzXomUDJVaUboy2wMfiS,0.677,0.401,0.116,0.195,0.0308,-8.467
The Other,Lauv,0EAzlhtMYxRb6wbi6KnPjC,0.38,0.553,0.0788,0.384,0.0653,-6.621
The Story Never Ends,Lauv,3u5bTqHMM1P34ZkbwzdckV,0.614,0.126,0.148,0.351,0.0376,-9.403
Breathe,Lauv,373q2bp4ZvyJ9kFZcpJSMs,0.32,0.393,0.341,0.193,0.039,-8.08
Lost in Love (feat. Jake Miller),Big Time Rush,2Ja92YrTrjKGcH7Oo3pi7F,0.754,0.871,0.166,0.852,0.0579,-4.623
All Over Again,Big Time Rush,156zXlUUdBchPZuSciV6zm,0.653,0.855,0.0818,0.531,0.0382,-5.745
